id,product_id,store_id,user_id,rate,review_text
1,1001,1,1,4,'very good'
2,1001,1,4,4.5,'awesome'
3,1002,2,1,3,'not bad'
4,1003,1,4,2.833333333,'did not like it'
5,1004,2,4,2.333333333,'I do not recommend'
6,1005,1,1,1.833333333,'very bad!'
7,1006,2,1,4,'very good'
8,1007,1,1,4.5,'awesome'
9,1008,2,4,3,'not bad'
10,1009,1,1,2.833333333,'did not like it'
11,1010,2,4,2.333333333,'I do not recommend'
12,1011,1,4,1.833333333,'very bad!'
13,1012,2,1,4,'very good'
14,1013,1,1,4.5,'awesome'
15,1014,2,1,3,'not bad'
16,1015,1,4,2.833333333,'did not like it'
17,1016,2,1,2.333333333,'I do not recommend'
18,1017,1,4,1.833333333,'very bad!'
19,1018,2,4,4,'very good'
20,1019,1,1,4.5,'awesome'
21,1020,2,1,3,'not bad'
22,1021,1,1,2.833333333,'did not like it'
23,1022,2,4,2.333333333,'I do not recommend'
24,1023,1,1,1.833333333,'very bad!'
25,1024,2,4,4,'very good'
26,1025,1,4,4.5,'awesome'
27,1026,2,1,3,'not bad'
28,1027,1,1,2.833333333,'did not like it'
29,1028,2,1,2.333333333,'I do not recommend'
30,1029,1,4,1.833333333,'very bad!'
31,1030,2,1,4,'very good'
32,1031,1,4,4.5,'awesome'
33,1032,2,4,3,'not bad'
34,1033,1,1,2.833333333,'did not like it'
35,1034,2,1,2.333333333,'I do not recommend'
36,1035,1,1,1.833333333,'very bad!'
37,1036,2,4,4,'very good'
38,1037,1,1,4.5,'awesome'
39,1038,2,4,3,'not bad'
40,1039,1,4,2.833333333,'did not like it'
41,1040,2,1,2.333333333,'I do not recommend'
42,1041,1,1,1.833333333,'very bad!'
43,1042,2,1,4,'very good'
44,1043,1,4,4.5,'awesome'
45,1044,2,1,3,'not bad'
46,1045,1,4,2.833333333,'did not like it'
47,1046,2,4,2.333333333,'I do not recommend'
48,1047,1,1,1.833333333,'very bad!'
49,1048,2,1,4,'very good'
50,1049,1,2,4.5,'awesome'
51,1050,2,5,3,'not bad'
52,1051,1,5,2.833333333,'did not like it'
53,1052,2,2,2.333333333,'I do not recommend'
54,1053,1,2,1.833333333,'very bad!'
